Tm,Season,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Buffalo Bills,2019,16,553,348,3123,15,7.1,1921,1668,191,31.10%,58,9.40%,41,7.40%,44,143,23.30%,132
Carolina Panthers,2019,16,544,347,3696,21,9.1,2210,1711,167,26.90%,57,9.20%,46,8.50%,53,156,25.20%,109
Chicago Bears,2019,16,571,362,3554,17,7.3,2110,1616,146,23.50%,80,12.90%,45,7.90%,32,157,25.20%,100
Cincinnati Bengals,2019,16,499,308,3917,25,8.5,2111,1916,183,32.50%,50,8.90%,48,9.60%,31,129,22.90%,109
Cleveland Browns,2019,16,513,318,3470,25,8.4,1958,1718,221,38.20%,62,10.70%,38,7.40%,38,138,23.80%,140
Indianapolis Colts,2019,16,562,394,3982,29,8,2372,1735,143,22.90%,55,8.80%,37,6.60%,41,133,21.30%,87
Arizona Cardinals,2019,16,601,421,4510,38,7.5,2471,2228,267,39.70%,52,7.70%,44,7.30%,40,136,20.20%,135
Dallas Cowboys,2019,16,569,370,3576,21,7.3,1876,1950,148,23.20%,61,9.60%,49,8.60%,39,149,23.40%,119
Denver Broncos,2019,16,537,348,3609,19,7.9,2015,1630,144,24.10%,62,10.40%,35,6.50%,40,137,22.90%,96
Detroit Lions,2019,16,611,381,4551,33,10.4,2864,1722,119,18.00%,53,8.00%,43,7.00%,28,124,18.80%,127
Green Bay Packers,2019,16,546,326,3721,19,8.8,2405,1862,139,22.70%,46,7.50%,46,8.40%,41,133,21.80%,104
Houston Texans,2019,16,586,375,4276,33,9.3,2569,2269,213,32.90%,44,6.80%,42,7.20%,31,117,18.10%,115
Jacksonville Jaguars,2019,16,517,327,3778,22,8.2,1960,2071,166,28.50%,46,7.90%,57,11.00%,47,150,25.80%,126
Kansas City Chiefs,2019,16,582,352,3543,21,8.3,2199,2168,190,29.10%,49,7.50%,51,8.80%,45,145,22.20%,101
Miami Dolphins,2019,16,545,344,4198,39,10.2,2595,1653,182,31.60%,35,6.10%,37,6.80%,23,95,16.50%,115
Minnesota Vikings,2019,16,601,394,3737,23,8.1,2748,1680,163,24.80%,54,8.20%,41,6.80%,48,143,21.70%,67
New Orleans Saints,2019,16,603,371,3868,27,8.4,2536,1804,222,32.70%,82,12.10%,46,7.60%,51,179,26.40%,86
New England Patriots,2019,16,536,303,2886,13,9.4,1726,1422,225,37.10%,58,9.60%,41,7.60%,47,146,24.10%,66
New York Giants,2019,16,556,369,4225,30,8.7,2518,1828,185,29.80%,56,9.00%,55,9.90%,36,147,23.70%,106
New York Jets,2019,16,585,363,3779,25,7.7,2195,1739,254,39.20%,50,7.70%,52,8.90%,35,137,21.10%,96
Tennessee Titans,2019,16,598,386,4080,25,8.8,2949,2224,166,24.60%,72,10.70%,27,4.50%,43,142,21.10%,110
Philadelphia Eagles,2019,16,571,348,3865,27,9.3,2609,1817,170,26.80%,55,8.70%,56,9.80%,43,154,24.30%,97
Pittsburgh Steelers,2019,16,514,314,3113,23,8.4,2079,1354,218,36.90%,70,11.80%,56,10.90%,54,180,30.50%,106
